"Date","Bank Rate"
"06-06-2011","0.5"
"07-06-2011","0.5"
"08-06-2011","0.5"
"09-06-2011","0.5"
"10-06-2011","0.5"
"13-06-2011","0.5"
"14-06-2011","0.5"
"15-06-2011","0.5"
"16-06-2011","0.5"
"17-06-2011","0.5"
"20-06-2011","0.5"
"21-06-2011","0.5"
"22-06-2011","0.5"
"23-06-2011","0.5"
"24-06-2011","0.5"
"27-06-2011","0.5"
"28-06-2011","0.5"
"29-06-2011","0.5"
"30-06-2011","0.5"
"01-07-2011","0.5"
"04-07-2011","0.5"
"05-07-2011","0.5"
"06-07-2011","0.5"
"07-07-2011","0.5"
"08-07-2011","0.5"
"11-07-2011","0.5"
"12-07-2011","0.5"
"13-07-2011","0.5"
"14-07-2011","0.5"
"15-07-2011","0.5"
"18-07-2011","0.5"
"19-07-2011","0.5"
"20-07-2011","0.5"
"21-07-2011","0.5"
"22-07-2011","0.5"
"25-07-2011","0.5"
"26-07-2011","0.5"
"27-07-2011","0.5"
"28-07-2011","0.5"
"29-07-2011","0.5"
"01-08-2011","0.5"
"02-08-2011","0.5"
"03-08-2011","0.5"
"04-08-2011","0.5"
"05-08-2011","0.5"
"08-08-2011","0.5"
"09-08-2011","0.5"
"10-08-2011","0.5"
"11-08-2011","0.5"
"12-08-2011","0.5"
"15-08-2011","0.5"
"16-08-2011","0.5"
"17-08-2011","0.5"
"18-08-2011","0.5"
"19-08-2011","0.5"
"22-08-2011","0.5"
"23-08-2011","0.5"
"24-08-2011","0.5"
"25-08-2011","0.5"
"26-08-2011","0.5"
"30-08-2011","0.5"
"31-08-2011","0.5"
"01-09-2011","0.5"
"02-09-2011","0.5"
"05-09-2011","0.5"
"06-09-2011","0.5"
"07-09-2011","0.5"
"08-09-2011","0.5"
"09-09-2011","0.5"
"12-09-2011","0.5"
"13-09-2011","0.5"
"14-09-2011","0.5"
"15-09-2011","0.5"
"16-09-2011","0.5"
"19-09-2011","0.5"
"20-09-2011","0.5"
"21-09-2011","0.5"
"22-09-2011","0.5"
"23-09-2011","0.5"
"26-09-2011","0.5"
"27-09-2011","0.5"
"28-09-2011","0.5"
"29-09-2011","0.5"
"30-09-2011","0.5"
"03-10-2011","0.5"
"04-10-2011","0.5"
"05-10-2011","0.5"
"06-10-2011","0.5"
"07-10-2011","0.5"
"10-10-2011","0.5"
"11-10-2011","0.5"
"12-10-2011","0.5"
"13-10-2011","0.5"
"14-10-2011","0.5"
"17-10-2011","0.5"
"18-10-2011","0.5"
"19-10-2011","0.5"
"20-10-2011","0.5"
"21-10-2011","0.5"
"24-10-2011","0.5"
"25-10-2011","0.5"
"26-10-2011","0.5"
"27-10-2011","0.5"
"28-10-2011","0.5"
"31-10-2011","0.5"
"01-11-2011","0.5"
"02-11-2011","0.5"
"03-11-2011","0.5"
"04-11-2011","0.5"
"07-11-2011","0.5"
